fault_mode,features,variant,runs,detected,first_driver_correct,driver_correct,terminal_lead_h_median,terminal_lead_h_min,terminal_lead_h_max,life_fraction_median,false_alarm_h_median,false_alarm_h_max
outer_race,single_bin,spec,6.0,6.0,2.0,6.0,12.083333333333334,10.166666666666664,12.166666666666668,0.30590717299578063,3.0833333333333317,5.333333333333334
outer_race,single_bin,prefilter,6.0,6.0,3.0,6.0,12.0,10.166666666666664,12.166666666666668,0.3037974683544304,0.5833333333333335,3.166666666666666
outer_race,single_bin,prefilter+specattr,6.0,6.0,3.0,6.0,12.0,10.166666666666664,12.166666666666668,0.3037974683544304,0.5833333333333335,3.166666666666666
outer_race,sideband,spec,6.0,6.0,1.0,6.0,12.0,10.333333333333332,12.166666666666668,0.3037974683544304,3.2499999999999987,4.833333333333332
outer_race,sideband,prefilter,6.0,6.0,3.0,6.0,11.833333333333334,10.166666666666664,12.166666666666668,0.3002127583494243,0.5833333333333335,3.0
outer_race,sideband,prefilter+specattr,6.0,6.0,3.0,6.0,11.833333333333334,10.166666666666664,12.166666666666668,0.3002127583494243,0.5833333333333335,3.0
inner_race,single_bin,spec,6.0,6.0,2.0,2.0,10.416666666666668,6.5,12.0,0.2648305084745763,3.0833333333333317,5.333333333333334
inner_race,single_bin,prefilter,6.0,6.0,3.0,3.0,10.25,6.333333333333329,12.0,0.2600389758993063,0.5833333333333335,3.166666666666666
inner_race,single_bin,prefilter+specattr,6.0,6.0,3.0,4.0,10.25,6.333333333333329,12.0,0.2600389758993063,0.5833333333333335,3.166666666666666
inner_race,sideband,spec,6.0,6.0,1.0,1.0,10.166666666666668,6.166666666666664,11.0,0.25792033183150975,3.2499999999999987,4.833333333333332
inner_race,sideband,prefilter,6.0,6.0,1.0,2.0,10.000000000000002,6.166666666666664,10.666666666666668,0.25423728813559326,0.5833333333333335,3.0
inner_race,sideband,prefilter+specattr,6.0,6.0,2.0,3.0,10.000000000000002,6.166666666666664,10.666666666666668,0.25423728813559326,0.5833333333333335,3.0
ball_spin,single_bin,spec,6.0,6.0,0.0,2.0,9.833333333333336,6.333333333333329,11.0,0.2494546949867697,3.0833333333333317,5.333333333333334
ball_spin,single_bin,prefilter,6.0,6.0,1.0,1.0,9.083333333333336,6.0,10.666666666666668,0.2304673532146178,0.5833333333333335,3.166666666666666
ball_spin,single_bin,prefilter+specattr,6.0,6.0,2.0,2.0,9.083333333333336,6.0,10.666666666666668,0.2304673532146178,0.5833333333333335,3.166666666666666
ball_spin,sideband,spec,6.0,6.0,0.0,1.0,9.833333333333336,8.333333333333336,11.0,0.2494546949867697,3.2499999999999987,4.833333333333332
ball_spin,sideband,prefilter,6.0,6.0,2.0,1.0,9.166666666666668,6.333333333333329,10.0,0.232577057855968,0.5833333333333335,3.0
ball_spin,sideband,prefilter+specattr,6.0,6.0,3.0,3.0,9.166666666666668,6.333333333333329,10.0,0.232577057855968,0.5833333333333335,3.0
cage,single_bin,spec,6.0,6.0,2.0,6.0,12.916666666666668,12.666666666666664,13.666666666666668,0.32769255524565544,3.0833333333333317,5.333333333333334
cage,single_bin,prefilter,6.0,6.0,3.0,6.0,12.916666666666668,12.666666666666664,13.666666666666668,0.32769255524565544,0.5833333333333335,3.166666666666666
cage,single_bin,prefilter+specattr,6.0,6.0,3.0,6.0,12.916666666666668,12.666666666666664,13.666666666666668,0.32769255524565544,0.5833333333333335,3.166666666666666
cage,sideband,spec,6.0,6.0,1.0,6.0,12.750000000000002,12.666666666666664,13.5,0.32483772087991347,3.2499999999999987,4.833333333333332
cage,sideband,prefilter,6.0,6.0,3.0,6.0,12.833333333333336,12.666666666666664,13.5,0.326271186440678,0.5833333333333335,3.0
cage,sideband,prefilter+specattr,6.0,6.0,3.0,6.0,12.833333333333336,12.666666666666664,13.5,0.326271186440678,0.5833333333333335,3.0
thermal,single_bin,spec,6.0,6.0,6.0,6.0,11.75,8.833333333333336,15.833333333333332,0.2992264416315049,3.0833333333333317,5.333333333333334
thermal,single_bin,prefilter,6.0,6.0,6.0,6.0,11.75,7.166666666666668,15.666666666666668,0.2992264416315049,0.5833333333333335,3.166666666666666
thermal,single_bin,prefilter+specattr,6.0,6.0,6.0,5.0,11.75,7.166666666666668,15.666666666666668,0.2992264416315049,0.5833333333333335,3.166666666666666
thermal,sideband,spec,6.0,6.0,6.0,6.0,11.75,8.833333333333336,15.833333333333332,0.2992264416315049,3.2499999999999987,4.833333333333332
thermal,sideband,prefilter,6.0,6.0,6.0,6.0,11.75,7.166666666666668,15.666666666666668,0.2992264416315049,0.5833333333333335,3.0
thermal,sideband,prefilter+specattr,6.0,6.0,6.0,6.0,11.75,7.166666666666668,15.666666666666668,0.2992264416315049,0.5833333333333335,3.0
