knock_gain_mad,alert_rows,knock_driven_episodes,knock_driven_alert_rows,share_of_alert_class
6,4983,12,42,0.008428657435279952
12,5062,20,74,0.014618727775582773
20,5256,40,158,0.030060882800608826
30,5610,97,385,0.06862745098039216
45,6069,174,836,0.13774921733399242
60,6376,199,1112,0.17440401505646172
90,6803,220,1488,0.21872703219168013
