healthy_ratio,ema_tau_h,persistence,mad_floor,limit_scale,watch_lead_h,alert_lead_h,critical_lead_h,alert_terminal_lead_h,alert_prior_episodes,alert_driver,alert_life_fraction,peak_score,alert_share
0.1,2.0,1,0.01,1.0,33.0,33.0,9.166666666666664,10.166666666666664,3,rms,0.8425531914893618,0.9999999999550546,0.3125
0.1,2.0,3,0.01,1.0,33.0,33.0,9.166666666666664,10.166666666666664,2,rms,0.8425531914893618,0.9999999999550546,0.3125
0.1,2.0,6,0.01,1.0,33.0,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999999550546,0.3125
0.1,2.0,1,0.02,1.0,33.0,33.0,9.166666666666664,10.166666666666664,3,rms,0.8425531914893618,0.9999999999550546,0.3125
0.1,2.0,3,0.02,1.0,33.0,33.0,9.166666666666664,10.166666666666664,2,rms,0.8425531914893618,0.9999999999550546,0.3125
0.1,2.0,6,0.02,1.0,33.0,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999999550546,0.3125
0.1,4.0,1,0.0,1.0,33.0,9.499999999999996,8.999999999999996,9.499999999999996,0,bpfo,0.24255319148936164,0.9999999958779686,0.25833333333333336
0.1,4.0,3,0.0,1.0,33.0,9.499999999999996,8.999999999999996,9.499999999999996,0,bpfo,0.24255319148936164,0.9999999958779686,0.25833333333333336
0.1,4.0,6,0.0,1.0,29.0,9.499999999999996,6.5,9.499999999999996,0,bpfo,0.24255319148936164,0.9999999958779686,0.25833333333333336
0.1,4.0,1,0.01,1.0,33.0,9.499999999999996,8.999999999999996,9.499999999999996,0,bpfo,0.24255319148936164,0.9999999958779686,0.25833333333333336
0.1,4.0,3,0.01,1.0,33.0,9.499999999999996,8.999999999999996,9.499999999999996,0,bpfo,0.24255319148936164,0.9999999958779686,0.25833333333333336
0.1,4.0,6,0.01,1.0,29.0,9.499999999999996,6.5,9.499999999999996,0,bpfo,0.24255319148936164,0.9999999958779686,0.25833333333333336
0.1,4.0,1,0.02,1.0,33.0,9.499999999999996,8.999999999999996,9.499999999999996,0,bpfo,0.24255319148936164,0.9999999958779686,0.25833333333333336
0.1,4.0,3,0.02,1.0,33.0,9.499999999999996,8.999999999999996,9.499999999999996,0,bpfo,0.24255319148936164,0.9999999958779686,0.25833333333333336
0.1,4.0,6,0.02,1.0,29.0,9.499999999999996,6.5,9.499999999999996,0,bpfo,0.24255319148936164,0.9999999958779686,0.25833333333333336
0.15,1.0,1,0.0,1.0,33.0,33.0,33.0,10.333333333333332,3,rms,0.8425531914893618,0.9999999993476754,0.3125
0.15,1.0,3,0.0,1.0,33.0,29.0,9.166666666666664,10.333333333333332,2,rms,0.7404255319148937,0.9999999993476754,0.3125
0.15,1.0,6,0.0,1.0,11.499999999999996,10.333333333333332,9.166666666666664,10.333333333333332,0,bpfo,0.26382978723404255,0.9999999993476754,0.3125
0.15,1.0,1,0.01,1.0,33.0,33.0,33.0,10.333333333333332,3,rms,0.8425531914893618,0.9999999993476754,0.3125
0.15,1.0,3,0.01,1.0,33.0,29.0,9.166666666666664,10.333333333333332,2,rms,0.7404255319148937,0.9999999993476754,0.3125
0.15,1.0,6,0.01,1.0,11.499999999999996,10.333333333333332,9.166666666666664,10.333333333333332,0,bpfo,0.26382978723404255,0.9999999993476754,0.3125
0.15,1.0,1,0.02,1.0,33.0,33.0,33.0,10.333333333333332,3,rms,0.8425531914893618,0.9999999993476754,0.3125
0.15,1.0,3,0.02,1.0,33.0,29.0,9.166666666666664,10.333333333333332,2,rms,0.7404255319148937,0.9999999993476754,0.3125
0.15,1.0,6,0.02,1.0,11.499999999999996,10.333333333333332,9.166666666666664,10.333333333333332,0,bpfo,0.26382978723404255,0.9999999993476754,0.3125
0.15,2.0,1,0.0,1.0,33.0,33.0,9.166666666666664,10.166666666666664,3,rms,0.8425531914893618,0.9999999922373074,0.29166666666666663
0.15,2.0,3,0.0,1.0,33.0,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999922373074,0.29166666666666663
0.15,2.0,6,0.0,1.0,29.0,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999922373074,0.29166666666666663
0.15,2.0,1,0.01,1.0,33.0,33.0,9.166666666666664,10.166666666666664,3,rms,0.8425531914893618,0.9999999922373074,0.29166666666666663
0.15,2.0,3,0.01,1.0,33.0,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999922373074,0.29166666666666663
0.15,2.0,6,0.01,1.0,29.0,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999922373074,0.29166666666666663
0.15,2.0,1,0.02,1.0,33.0,33.0,9.166666666666664,10.166666666666664,3,rms,0.8425531914893618,0.9999999922373074,0.29166666666666663
0.15,2.0,3,0.02,1.0,33.0,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999922373074,0.29166666666666663
0.15,2.0,6,0.02,1.0,29.0,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999922373074,0.29166666666666663
0.15,4.0,1,0.0,1.0,29.0,9.499999999999996,5.833333333333329,9.499999999999996,0,bpfo,0.24255319148936164,0.9999997002573459,0.2583333333333333
0.15,4.0,3,0.0,1.0,10.333333333333332,9.499999999999996,5.833333333333329,9.499999999999996,0,bpfo,0.24255319148936164,0.9999997002573459,0.2583333333333333
0.15,4.0,6,0.0,1.0,10.333333333333332,9.499999999999996,5.833333333333329,9.499999999999996,0,bpfo,0.24255319148936164,0.9999997002573459,0.2583333333333333
0.15,4.0,1,0.01,1.0,29.0,9.499999999999996,5.833333333333329,9.499999999999996,0,bpfo,0.24255319148936164,0.9999997002573459,0.2583333333333333
0.15,4.0,3,0.01,1.0,10.333333333333332,9.499999999999996,5.833333333333329,9.499999999999996,0,bpfo,0.24255319148936164,0.9999997002573459,0.2583333333333333
0.15,4.0,6,0.01,1.0,10.333333333333332,9.499999999999996,5.833333333333329,9.499999999999996,0,bpfo,0.24255319148936164,0.9999997002573459,0.2583333333333333
0.15,4.0,1,0.02,1.0,29.0,9.499999999999996,5.833333333333329,9.499999999999996,0,bpfo,0.24255319148936164,0.9999997002573459,0.2583333333333333
0.15,4.0,3,0.02,1.0,10.333333333333332,9.499999999999996,5.833333333333329,9.499999999999996,0,bpfo,0.24255319148936164,0.9999997002573459,0.2583333333333333
0.15,4.0,6,0.02,1.0,10.333333333333332,9.499999999999996,5.833333333333329,9.499999999999996,0,bpfo,0.24255319148936164,0.9999997002573459,0.2583333333333333
0.25,1.0,1,0.0,1.0,33.0,33.0,33.0,11.333333333333332,2,rms,0.8425531914893618,0.9999999999702316,0.3375
0.25,1.0,3,0.0,1.0,33.0,33.0,9.666666666666664,11.333333333333332,2,rms,0.8425531914893618,0.9999999999702316,0.3375
0.25,1.0,6,0.0,1.0,11.499999999999996,11.333333333333332,9.666666666666664,11.333333333333332,0,bpfo,0.28936170212765955,0.9999999999702316,0.3375
0.25,1.0,1,0.01,1.0,33.0,33.0,33.0,11.333333333333332,2,rms,0.8425531914893618,0.9999999999702316,0.3375
0.25,1.0,3,0.01,1.0,33.0,33.0,9.666666666666664,11.333333333333332,2,rms,0.8425531914893618,0.9999999999702316,0.3375
0.25,1.0,6,0.01,1.0,11.499999999999996,11.333333333333332,9.666666666666664,11.333333333333332,0,bpfo,0.28936170212765955,0.9999999999702316,0.3375
0.25,1.0,1,0.02,1.0,33.0,33.0,33.0,11.333333333333332,2,rms,0.8425531914893618,0.9999999999702316,0.3375
0.25,1.0,3,0.02,1.0,33.0,33.0,9.666666666666664,11.333333333333332,2,rms,0.8425531914893618,0.9999999999702316,0.3375
0.25,1.0,6,0.02,1.0,11.499999999999996,11.333333333333332,9.666666666666664,11.333333333333332,0,bpfo,0.28936170212765955,0.9999999999702316,0.3375
0.25,2.0,1,0.0,1.0,33.0,33.0,9.333333333333332,10.833333333333332,2,rms,0.8425531914893618,0.9999999995064872,0.3125
0.25,2.0,3,0.0,1.0,33.0,29.0,9.333333333333332,10.833333333333332,1,rms,0.7404255319148937,0.9999999995064872,0.3125
0.25,2.0,6,0.0,1.0,33.0,10.833333333333332,9.333333333333332,10.833333333333332,0,bpfo,0.2765957446808511,0.9999999995064872,0.3125
0.25,2.0,1,0.01,1.0,33.0,33.0,9.333333333333332,10.833333333333332,2,rms,0.8425531914893618,0.9999999995064872,0.3125
0.25,2.0,3,0.01,1.0,33.0,29.0,9.333333333333332,10.833333333333332,1,rms,0.7404255319148937,0.9999999995064872,0.3125
0.25,2.0,6,0.01,1.0,33.0,10.833333333333332,9.333333333333332,10.833333333333332,0,bpfo,0.2765957446808511,0.9999999995064872,0.3125
0.25,2.0,1,0.02,1.0,33.0,33.0,9.333333333333332,10.833333333333332,2,rms,0.8425531914893618,0.9999999995064872,0.3125
0.25,2.0,3,0.02,1.0,33.0,29.0,9.333333333333332,10.833333333333332,1,rms,0.7404255319148937,0.9999999995064872,0.3125
0.25,2.0,6,0.02,1.0,33.0,10.833333333333332,9.333333333333332,10.833333333333332,0,bpfo,0.2765957446808511,0.9999999995064872,0.3125
0.25,4.0,1,0.0,1.0,33.0,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999691396227,0.275
0.25,4.0,3,0.0,1.0,29.0,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999691396227,0.275
0.25,4.0,6,0.0,1.0,10.833333333333332,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999691396227,0.275
0.25,4.0,1,0.01,1.0,33.0,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999691396227,0.275
0.25,4.0,3,0.01,1.0,29.0,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999691396227,0.275
0.25,4.0,6,0.01,1.0,10.833333333333332,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999691396227,0.275
0.25,4.0,1,0.02,1.0,33.0,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999691396227,0.275
0.25,4.0,3,0.02,1.0,29.0,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999691396227,0.275
0.25,4.0,6,0.02,1.0,10.833333333333332,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999691396227,0.275
